playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
whiteknight,WhiteKnight,PRM,2026,Summer,top,TeamOrangeGaming,0.696878621534665,14.253897550111358,False,0.3,10,9,-1.9803882525307344,-1.5171757725320605,-2.3156734871410345
artanis,Artanis,NLC,2025,Summer,jng,Bulldog Esports,0.6946995196986471,14.87964989059081,False,0.3,10,7,0.0431674559392773,-0.8121016490791542,-1.033964089291158
nuq,NuQ,LFL2,2024,unknown,top,Joblife,0.6920134183056011,14.03118040089087,False,0.1428571428571428,7,6,2.207114450646823,-0.70774097571651,1.4798903376909536
royeq,Royeq,NLC,2026,Winter,bot,Lundqvist Lightside,0.6917563842878026,15.350877192982457,False,0.4285714285714285,7,6,-0.5043513514204812,-0.0252974797462953,-0.209828759662005
myrtus,Myrtus,LFL,2025,unknown,sup,Team BDS Academy,0.6903769684663651,17.77777777777778,False,0.5,12,8,-0.7071067811865469,0.7071067811865476,-0.7071067811865475
macaquinho,Macaquinho,LVP SL,2025,Winter,mid,Guasones,0.6871396270724985,12.97539149888143,False,0.1111111111111111,9,8,1.345728554480203,-1.1985811517588367,-0.4808999332556426
fgg,FGG,LVP SL,2024,Summer,sup,ZETA,0.6830692681734456,17.555555555555554,False,0.2857142857142857,14,6,-0.8203113750356631,-1.150722416776197,-0.1500681784087462
advienne,Advienne,LFL,2024,unknown,sup,Ici Japon Corp. Esport,0.6801006419717914,17.333333333333336,False,0.5454545454545454,11,2,0.7071067811865472,-0.7071067811865479,-0.7071067811865476
mishi,Mishi,LFL,2025,Spring,bot,Team BDS Academy,0.679482932306793,15.131578947368421,False,0.0909090909090909,11,7,0.6857812107428884,-1.1013906106574614,-0.2828007754567454
mansterninja,Mansterninja,NLC,2026,Spring,top,Lundqvist Lightside,0.6771165947987415,13.808463251670378,False,0.2857142857142857,7,7,1.176950683901666,0.5118454987267973,0.3534059421939588
zaremba,Zaremba,LFL2,2024,Spring,sup,MHSC Esport,0.6761729698861875,17.11111111111111,False,0.6666666666666666,6,2,-0.1166370088351618,-0.364200764764597,0.5587138949727967
sangrod,Sangrod,LVP SL,2025,Spring,top,ZETA,0.6759188331660863,13.585746102449889,False,0.3333333333333333,9,6,-0.0208040985334064,-0.3716792141413447,-1.274489140950268
mxe,Mxe,TCL,2024,Winter,sup,Galakticos,0.6755861644633803,16.88888888888889,False,0.0,14,8,-0.222763153848469,0.8093816458058128,-1.011760280217658
xico,Xico,LVP SL,2025,Spring,mid,ZETA,0.6749838455672732,12.751677852348994,False,0.3333333333333333,9,5,0.2413889939200587,0.439020772869464,-0.8875644364041361
vizzpers,Vizzpers,LFL,2026,unknown,bot,Vitality.Bee,0.6739346913197869,14.912280701754385,False,0.25,12,4,-0.5400525621085408,-1.992780485206738,-2.918091469965586
wntr,WNTR,NLC,2025,Winter,top,Lundqvist Lightside,0.673708793435685,13.3630289532294,False,0.3333333333333333,12,8,-1.6173889922019755,-1.391765385054554,-1.3116788820233731
patkicaa,PatkicaA,LFL2,2024,Spring,top,Ici Japon Corp. Esport,0.6657186418194256,13.140311804008908,False,0.6666666666666666,6,5,-0.1071034780669187,0.4752291485380771,-0.0555202915591094
pride,Pride,PRM,2025,unknown,top,Eintracht Spandau,0.6615138794411763,12.91759465478842,False,0.6,5,5,-0.3418761111923621,-1.0524091096114414,0.7699176570867059
